#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_fas+is_zyyy+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:364:2:19002,19002,1603:45:16:364:0,1603:45:16:364:1:19,1603:45:16:364:2:19002,Ashtian,شهرستان آشتیان,IR019002,,,,,,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:19003,19003,1603:45:16:364:0,1603:45:16:364:1:19,1603:45:16:364:2:19003,Delijan,شهرستان دلیجان,IR019003,,,,,,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:19004,19004,1603:45:16:364:0,1603:45:16:364:1:19,1603:45:16:364:2:19004,Farahan,شهرستان فراهان,IR019004,,,,,,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:19005,19005,1603:45:16:364:0,1603:45:16:364:1:19,1603:45:16:364:2:19005,Khomein,شهرستان خمین,IR019005,,,,,,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:19006,19006,1603:45:16:364:0,1603:45:16:364:1:19,1603:45:16:364:2:19006,Khondab,شهرستان خنداب,IR019006,,,,,,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:19007,19007,1603:45:16:364:0,1603:45:16:364:1:19,1603:45:16:364:2:19007,Komeijan,شهرستان کمیجان,IR019007,,,,,,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:19008,19008,1603:45:16:364:0,1603:45:16:364:1:19,1603:45:16:364:2:19008,Mahallat,شهرستان محلات,IR019008,,,,,,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:19009,19009,1603:45:16:364:0,1603:45:16:364:1:19,1603:45:16:364:2:19009,Saveh,شهرستان ساوه,IR019009,,,,,,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:19010,19010,1603:45:16:364:0,1603:45:16:364:1:19,1603:45:16:364:2:19010,Shazand,شهرستان شازند,IR019010,,,,,,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:19011,19011,1603:45:16:364:0,1603:45:16:364:1:19,1603:45:16:364:2:19011,Tafresh,شهرستان تفرش,IR019011,,,,,,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:19012,19012,1603:45:16:364:0,1603:45:16:364:1:19,1603:45:16:364:2:19012,Zarandieh,شهرستان زرندیه,IR019012,,,,,,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20001,20001,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20001,Abbasabad,شهرستان عباس آباد,IR020001,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20002,20002,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20002,Amol,شهرستان آمل,IR020002,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20003,20003,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20003,Babol,شهرستان بابل,IR020003,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20004,20004,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20004,Babolsar,شهرستان بابلسر,IR020004,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20005,20005,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20005,Behshahr,شهرستان بهشهر,IR020005,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20006,20006,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20006,Chalus,شهرستان چالوس,IR020006,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20007,20007,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20007,Feredunkenar,شهرستان فریدونکنار,IR020007,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20008,20008,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20008,Galugah,شهرستان گلوگاه,IR020008,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20009,20009,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20009,Qaemshahr,شهرستان قائم‌شهر,IR020009,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20010,20010,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20010,Juybar,شهرستان جویبار,IR020010,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20011,20011,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20011,Kelardasht,شهرستان کلاردشت,IR020011,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20012,20012,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20012,Mahmudabad,شهرستان محمودآباد,IR020012,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20013,20013,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20013,Miandorud,شهرستان میاندورود,IR020013,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20014,20014,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20014,Neka,شهرستان نکا,IR020014,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20015,20015,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20015,Noshahr,شهرستان نوشهر,IR020015,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20016,20016,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20016,Nur,شهرستان نور,IR020016,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20017,20017,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20017,Ramsar,شهرستان رامسر,IR020017,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20018,20018,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20018,Sari,شهرستان ساری,IR020018,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20019,20019,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20019,Northern Savadkooh,شهرستان سوادکوه شمالی,IR020019,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20020,20020,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20020,Savadkuh,شهرستان سوادکوه,IR020020,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20021,20021,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20021,Simorgh,شهرستان سیمرغ,IR020021,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:20022,20022,1603:45:16:364:0,1603:45:16:364:1:20,1603:45:16:364:2:20022,Tonekabon,شهرستان تنکابن,IR020022,,,,,,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:21001,21001,1603:45:16:364:0,1603:45:16:364:1:21,1603:45:16:364:2:21001,Bojnurd,شهرستان بجنورد,IR021001,,,,,,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:21002,21002,1603:45:16:364:0,1603:45:16:364:1:21,1603:45:16:364:2:21002,Esfarayen,شهرستان اسفراین,IR021002,,,,,,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:21003,21003,1603:45:16:364:0,1603:45:16:364:1:21,1603:45:16:364:2:21003,Faroj,شهرستان فاروج,IR021003,,,,,,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:21004,21004,1603:45:16:364:0,1603:45:16:364:1:21,1603:45:16:364:2:21004,Germeh,شهرستان گرمه,IR021004,,,,,,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:21005,21005,1603:45:16:364:0,1603:45:16:364:1:21,1603:45:16:364:2:21005,Jajrom,شهرستان جاجرم,IR021005,,,,,,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:21006,21006,1603:45:16:364:0,1603:45:16:364:1:21,1603:45:16:364:2:21006,Maneh-o-Samalqan,شهرستان مانه وسملقان,IR021006,,,,,,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:21007,21007,1603:45:16:364:0,1603:45:16:364:1:21,1603:45:16:364:2:21007,Razo Jalgelan,شهرستان رازوجرگلان,IR021007,,,,,,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:21008,21008,1603:45:16:364:0,1603:45:16:364:1:21,1603:45:16:364:2:21008,Shirvan,شهرستان شیروان,IR021008,,,,,,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:22001,22001,1603:45:16:364:0,1603:45:16:364:1:22,1603:45:16:364:2:22001,Abyek,شهرستان آبیک,IR022001,,,,,,Qazvin,قزوین,IR022,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:22002,22002,1603:45:16:364:0,1603:45:16:364:1:22,1603:45:16:364:2:22002,Alborz,شهرستان البرز,IR022002,,,,,,Qazvin,قزوین,IR022,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:22003,22003,1603:45:16:364:0,1603:45:16:364:1:22,1603:45:16:364:2:22003,Avaj,شهرستان آوج,IR022003,,,,,,Qazvin,قزوین,IR022,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:22004,22004,1603:45:16:364:0,1603:45:16:364:1:22,1603:45:16:364:2:22004,Buin-Zahra,شهرستان بوئین زهرا,IR022004,,,,,,Qazvin,قزوین,IR022,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:22005,22005,1603:45:16:364:0,1603:45:16:364:1:22,1603:45:16:364:2:22005,Qazvin,شهرستان قزوین,IR022005,,,,,,Qazvin,قزوین,IR022,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:22006,22006,1603:45:16:364:0,1603:45:16:364:1:22,1603:45:16:364:2:22006,Takestan,شهرستان تاکستان,IR022006,,,,,,Qazvin,قزوین,IR022,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:23001,23001,1603:45:16:364:0,1603:45:16:364:1:23,1603:45:16:364:2:23001,Qom,شهرستان قم,IR023001,,,,,,Qom,قم,IR023,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24001,24001,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24001,Bajestan,شهرستان بجستان,IR024001,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24002,24002,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24002,Bakharz,شهرستان باخرز,IR024002,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24003,24003,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24003,Bardaskan,شهرستان بردسکن,IR024003,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24004,24004,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24004,Torghabe-o-Shandiz,شهرستان بینالود,IR024004,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24005,24005,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24005,Chenaran,شهرستان چناران,IR024005,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24006,24006,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24006,Dargaz,شهرستان درگز,IR024006,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24007,24007,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24007,Davarzan,شهرستان داورزن,IR024007,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24008,24008,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24008,Fariman,شهرستان فریمان,IR024008,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24009,24009,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24009,Firuzeh,شهرستان فیروزه,IR024009,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24010,24010,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24010,Gonabad,شهرستان گناباد,IR024010,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24011,24011,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24011,Joghatai,شهرستان جغتای,IR024011,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24012,24012,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24012,Jowayin,شهرستان جوین,IR024012,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24013,24013,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24013,Kalat,شهرستان کلات,IR024013,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24014,24014,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24014,Kashmar,شهرستان کاشمر,IR024014,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24015,24015,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24015,Khaf,شهرستان خواف,IR024015,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24016,24016,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24016,Khalilabad,شهرستان خلیل آباد,IR024016,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24017,24017,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24017,Khoshab,شهرستان خوشاب,IR024017,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24018,24018,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24018,Mahvelat,شهرستان مه ولات,IR024018,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24019,24019,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24019,Mashhad,شهرستان مشهد,IR024019,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24020,24020,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24020,Nishapur,شهرستان نیشابور,IR024020,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24021,24021,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24021,Quchan,شهرستان قوچان,IR024021,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24022,24022,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24022,Rashtkhar,شهرستان رشتخوار,IR024022,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24023,24023,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24023,Sabzevar,شهرستان سبزوار,IR024023,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24024,24024,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24024,Sarakhs,شهرستان سرخس,IR024024,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24025,24025,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24025,Taybad,شهرستان تایباد,IR024025,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24026,24026,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24026,Torbat-e-Heydarieh,شهرستان تربت حیدریه,IR024026,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24027,24027,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24027,Torbat-e-Jam,شهرستان تربت جام,IR024027,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:24028,24028,1603:45:16:364:0,1603:45:16:364:1:24,1603:45:16:364:2:24028,Zave,شهرستان زاوه,IR024028,,,,,,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:25001,25001,1603:45:16:364:0,1603:45:16:364:1:25,1603:45:16:364:2:25001,Aradan,شهرستان آرادان,IR025001,,,,,,Semnan,سمنان,IR025,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:25002,25002,1603:45:16:364:0,1603:45:16:364:1:25,1603:45:16:364:2:25002,Damghan,شهرستان دامغان,IR025002,,,,,,Semnan,سمنان,IR025,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:25003,25003,1603:45:16:364:0,1603:45:16:364:1:25,1603:45:16:364:2:25003,Garmsar,شهرستان گرمسار,IR025003,,,,,,Semnan,سمنان,IR025,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:25004,25004,1603:45:16:364:0,1603:45:16:364:1:25,1603:45:16:364:2:25004,Mehdishahr,شهرستان مهدی شهر,IR025004,,,,,,Semnan,سمنان,IR025,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:25005,25005,1603:45:16:364:0,1603:45:16:364:1:25,1603:45:16:364:2:25005,Meyami,شهرستان میامی,IR025005,,,,,,Semnan,سمنان,IR025,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:25006,25006,1603:45:16:364:0,1603:45:16:364:1:25,1603:45:16:364:2:25006,Semnan,شهرستان سمنان,IR025006,,,,,,Semnan,سمنان,IR025,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:25008,25008,1603:45:16:364:0,1603:45:16:364:1:25,1603:45:16:364:2:25008,Shahrud,شهرستان شاهرود,IR025008,,,,,,Semnan,سمنان,IR025,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:25009,25009,1603:45:16:364:0,1603:45:16:364:1:25,1603:45:16:364:2:25009,Sorkheh,شهرستان سرخه,IR025009,,,,,,Semnan,سمنان,IR025,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:26001,26001,1603:45:16:364:0,1603:45:16:364:1:26,1603:45:16:364:2:26001,Chabahar,شهرستان چابهار,IR026001,,,,,,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:26002,26002,1603:45:16:364:0,1603:45:16:364:1:26,1603:45:16:364:2:26002,Dalgan,شهرستان دلگان,IR026002,,,,,,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:26003,26003,1603:45:16:364:0,1603:45:16:364:1:26,1603:45:16:364:2:26003,Fanouj,شهرستان فنوج,IR026003,,,,,,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:26004,26004,1603:45:16:364:0,1603:45:16:364:1:26,1603:45:16:364:2:26004,Hamoun,شهرستان هامون,IR026004,,,,,,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:2:26005,26005,1603:45:16:364:0,1603:45:16:364:1:26,1603:45:16:364:2:26005,Hirmand,شهرستان هیرمند,IR026005,,,,,,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
