qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,sqi-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,sqi-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,sqi-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,sqi-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:8:3:80301,80301,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:803,1603:45:16:8:3:80301,Bajram Curri,Bajram Curri,AL080301,Bashkia Tropoje,Bashkia Topojë,AL0803,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80302,80302,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:803,1603:45:16:8:3:80302,Bujan,Bujan,AL080302,Bashkia Tropoje,Bashkia Topojë,AL0803,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80303,80303,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:803,1603:45:16:8:3:80303,Bytyc,Bytyç,AL080303,Bashkia Tropoje,Bashkia Topojë,AL0803,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80304,80304,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:803,1603:45:16:8:3:80304,Fierze,Fierzë,AL080304,Bashkia Tropoje,Bashkia Topojë,AL0803,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80305,80305,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:803,1603:45:16:8:3:80305,Lekbibaj,Lekbibaj,AL080305,Bashkia Tropoje,Bashkia Topojë,AL0803,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80306,80306,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:803,1603:45:16:8:3:80306,Llugaj,Llugaj,AL080306,Bashkia Tropoje,Bashkia Topojë,AL0803,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80307,80307,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:803,1603:45:16:8:3:80307,Margegaj,Margegaj,AL080307,Bashkia Tropoje,Bashkia Topojë,AL0803,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:80308,80308,1603:45:16:8:0,1603:45:16:8:1:8,1603:45:16:8:2:803,1603:45:16:8:3:80308,Topoje,Topojë,AL080308,Bashkia Tropoje,Bashkia Topojë,AL0803,Kukes,Kukës,AL08,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90101,90101,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:901,1603:45:16:8:3:90101,Fushe Kuqe,Fushë Kuqe,AL090101,Bashkia Kurbin,Bashkia Kurbinit,AL0901,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90102,90102,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:901,1603:45:16:8:3:90102,Lac,Laç,AL090102,Bashkia Kurbin,Bashkia Kurbinit,AL0901,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90103,90103,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:901,1603:45:16:8:3:90103,Mamurras,Mamurras,AL090103,Bashkia Kurbin,Bashkia Kurbinit,AL0901,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90104,90104,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:901,1603:45:16:8:3:90104,Milot,Milot,AL090104,Bashkia Kurbin,Bashkia Kurbinit,AL0901,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90201,90201,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:902,1603:45:16:8:3:90201,Balldren i Ri,Balldren i Ri,AL090201,Bashkia Lezhe,Bashkia Lezhë,AL0902,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90202,90202,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:902,1603:45:16:8:3:90202,Blinisht,Blinisht,AL090202,Bashkia Lezhe,Bashkia Lezhë,AL0902,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90203,90203,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:902,1603:45:16:8:3:90203,Dajc,Dajç,AL090203,Bashkia Lezhe,Bashkia Lezhë,AL0902,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90204,90204,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:902,1603:45:16:8:3:90204,Kallmet,Kallmet,AL090204,Bashkia Lezhe,Bashkia Lezhë,AL0902,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90205,90205,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:902,1603:45:16:8:3:90205,Kolsh,Kolsh,AL090205,Bashkia Lezhe,Bashkia Lezhë,AL0902,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90206,90206,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:902,1603:45:16:8:3:90206,Lezhe,Lezhë,AL090206,Bashkia Lezhe,Bashkia Lezhë,AL0902,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90207,90207,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:902,1603:45:16:8:3:90207,Shengjin,Shëngjin,AL090207,Bashkia Lezhe,Bashkia Lezhë,AL0902,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90208,90208,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:902,1603:45:16:8:3:90208,Shenkoll,Shënkoll,AL090208,Bashkia Lezhe,Bashkia Lezhë,AL0902,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90209,90209,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:902,1603:45:16:8:3:90209,Ungrej,Ungrej,AL090209,Bashkia Lezhe,Bashkia Lezhë,AL0902,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90210,90210,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:902,1603:45:16:8:3:90210,Zejmen,Zejmen,AL090210,Bashkia Lezhe,Bashkia Lezhë,AL0902,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90301,90301,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:903,1603:45:16:8:3:90301,Fan,Fan,AL090301,Bashkia Mirdite,Bashkia Mirditës,AL0903,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90302,90302,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:903,1603:45:16:8:3:90302,Kacinar,Kaçinar,AL090302,Bashkia Mirdite,Bashkia Mirditës,AL0903,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90303,90303,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:903,1603:45:16:8:3:90303,Kthelle,Kthellë,AL090303,Bashkia Mirdite,Bashkia Mirditës,AL0903,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90304,90304,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:903,1603:45:16:8:3:90304,Orosh,Orosh,AL090304,Bashkia Mirdite,Bashkia Mirditës,AL0903,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90305,90305,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:903,1603:45:16:8:3:90305,Rreshen,Rrëshen,AL090305,Bashkia Mirdite,Bashkia Mirditës,AL0903,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90306,90306,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:903,1603:45:16:8:3:90306,Rubik,Rubik,AL090306,Bashkia Mirdite,Bashkia Mirditës,AL0903,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:90307,90307,1603:45:16:8:0,1603:45:16:8:1:9,1603:45:16:8:2:903,1603:45:16:8:3:90307,Selite,Selitë,AL090307,Bashkia Mirdite,Bashkia Mirditës,AL0903,Lezhe,Lezhë,AL09,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100101,100101,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1001,1603:45:16:8:3:100101,Blerim,Blerim,AL100101,Bashkia Fushe Arrez,Bashkia Fushë Arrëz,AL1001,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100102,100102,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1001,1603:45:16:8:3:100102,Fierze,Fierzë,AL100102,Bashkia Fushe Arrez,Bashkia Fushë Arrëz,AL1001,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100103,100103,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1001,1603:45:16:8:3:100103,Fushe Arrez,Fushë Arrëz,AL100103,Bashkia Fushe Arrez,Bashkia Fushë Arrëz,AL1001,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100104,100104,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1001,1603:45:16:8:3:100104,Iballe,Iballë,AL100104,Bashkia Fushe Arrez,Bashkia Fushë Arrëz,AL1001,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100105,100105,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1001,1603:45:16:8:3:100105,Qafe Mali,Qafë Mali,AL100105,Bashkia Fushe Arrez,Bashkia Fushë Arrëz,AL1001,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100201,100201,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1002,1603:45:16:8:3:100201,Gruemire,Gruemirë,AL100201,Bashkia Malesi e Madhe,Bashkia Malësi e Madhe,AL1002,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100203,100203,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1002,1603:45:16:8:3:100203,Kastrat,Kastrat,AL100203,Bashkia Malesi e Madhe,Bashkia Malësi e Madhe,AL1002,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100204,100204,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1002,1603:45:16:8:3:100204,Kelmend,Kelmend,AL100204,Bashkia Malesi e Madhe,Bashkia Malësi e Madhe,AL1002,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100205,100205,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1002,1603:45:16:8:3:100205,Koplik,Koplik,AL100205,Bashkia Malesi e Madhe,Bashkia Malësi e Madhe,AL1002,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100206,100206,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1002,1603:45:16:8:3:100206,Qender,Qendër,AL100206,Bashkia Malesi e Madhe,Bashkia Malësi e Madhe,AL1002,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100207,100207,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1002,1603:45:16:8:3:100207,Shkrel,Shkrel,AL100207,Bashkia Malesi e Madhe,Bashkia Malësi e Madhe,AL1002,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100301,100301,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1003,1603:45:16:8:3:100301,Gjegjan,Gjegjan,AL100301,Bashkia Puke,Bashkia Pukë,AL1003,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100302,100302,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1003,1603:45:16:8:3:100302,Puke,Pukë,AL100302,Bashkia Puke,Bashkia Pukë,AL1003,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100303,100303,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1003,1603:45:16:8:3:100303,Qelez,Qelëz,AL100303,Bashkia Puke,Bashkia Pukë,AL1003,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100304,100304,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1003,1603:45:16:8:3:100304,Qerret,Qerret,AL100304,Bashkia Puke,Bashkia Pukë,AL1003,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100305,100305,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1003,1603:45:16:8:3:100305,Rrape,Rrapë,AL100305,Bashkia Puke,Bashkia Pukë,AL1003,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100401,100401,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1004,1603:45:16:8:3:100401,Ana e Malit,Ana e Malit,AL100401,Bashkia Shkoder,Bashkia Shkodër,AL1004,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100402,100402,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1004,1603:45:16:8:3:100402,Berdice,Berdicë,AL100402,Bashkia Shkoder,Bashkia Shkodër,AL1004,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100403,100403,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1004,1603:45:16:8:3:100403,Dajc,Dajç,AL100403,Bashkia Shkoder,Bashkia Shkodër,AL1004,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100404,100404,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1004,1603:45:16:8:3:100404,Gur i Zi,Gur i Zi,AL100404,Bashkia Shkoder,Bashkia Shkodër,AL1004,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100405,100405,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1004,1603:45:16:8:3:100405,Postribe,Postribë,AL100405,Bashkia Shkoder,Bashkia Shkodër,AL1004,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100406,100406,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1004,1603:45:16:8:3:100406,Pult,Pult,AL100406,Bashkia Shkoder,Bashkia Shkodër,AL1004,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100407,100407,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1004,1603:45:16:8:3:100407,Rrethina,Rrethina,AL100407,Bashkia Shkoder,Bashkia Shkodër,AL1004,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100408,100408,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1004,1603:45:16:8:3:100408,Shale,Shalë,AL100408,Bashkia Shkoder,Bashkia Shkodër,AL1004,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100409,100409,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1004,1603:45:16:8:3:100409,Shkoder,Shkodër,AL100409,Bashkia Shkoder,Bashkia Shkodër,AL1004,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100410,100410,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1004,1603:45:16:8:3:100410,Shosh,Shosh,AL100410,Bashkia Shkoder,Bashkia Shkodër,AL1004,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100411,100411,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1004,1603:45:16:8:3:100411,Velipoje,Velipojë,AL100411,Bashkia Shkoder,Bashkia Shkodër,AL1004,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100501,100501,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1005,1603:45:16:8:3:100501,Barbullush,Barbullush,AL100501,Bashkia Vau Dejes,Bashkia Vau i Dejës,AL1005,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100502,100502,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1005,1603:45:16:8:3:100502,Bushat,Bushat,AL100502,Bashkia Vau Dejes,Bashkia Vau i Dejës,AL1005,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100503,100503,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1005,1603:45:16:8:3:100503,Hajmel,Hajmel,AL100503,Bashkia Vau Dejes,Bashkia Vau i Dejës,AL1005,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100504,100504,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1005,1603:45:16:8:3:100504,Shllak,Shllak,AL100504,Bashkia Vau Dejes,Bashkia Vau i Dejës,AL1005,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100505,100505,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1005,1603:45:16:8:3:100505,Temal,Temal,AL100505,Bashkia Vau Dejes,Bashkia Vau i Dejës,AL1005,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100506,100506,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1005,1603:45:16:8:3:100506,Vau i Dejes,Vau i Dejës,AL100506,Bashkia Vau Dejes,Bashkia Vau i Dejës,AL1005,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:100507,100507,1603:45:16:8:0,1603:45:16:8:1:10,1603:45:16:8:2:1005,1603:45:16:8:3:100507,Vig Mnele,Vig Mnelë,AL100507,Bashkia Vau Dejes,Bashkia Vau i Dejës,AL1005,Shkoder,Shkodër,AL10,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110101,110101,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1101,1603:45:16:8:3:110101,Kamez,Kamëz,AL110101,Bashkia Kamez,Bashkia Kavajë,AL1101,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110102,110102,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1101,1603:45:16:8:3:110102,Paskuqan,Paskuqan,AL110102,Bashkia Kamez,Bashkia Kavajë,AL1101,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110201,110201,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1102,1603:45:16:8:3:110201,Golem,Golem,AL110201,Bashkia Kavaje,Bashkia Kavajë,AL1102,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110202,110202,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1102,1603:45:16:8:3:110202,Helmes,Helmes,AL110202,Bashkia Kavaje,Bashkia Kavajë,AL1102,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110203,110203,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1102,1603:45:16:8:3:110203,Kavaje,Kavajë,AL110203,Bashkia Kavaje,Bashkia Kavajë,AL1102,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110204,110204,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1102,1603:45:16:8:3:110204,Luz i Vogel,Luz i Vogël,AL110204,Bashkia Kavaje,Bashkia Kavajë,AL1102,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110205,110205,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1102,1603:45:16:8:3:110205,Synej,Synej,AL110205,Bashkia Kavaje,Bashkia Kavajë,AL1102,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110301,110301,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1103,1603:45:16:8:3:110301,Gose,Gosë,AL110301,Bashkia Rrogozhine,Bashkia Rrogozhinë,AL1103,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110302,110302,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1103,1603:45:16:8:3:110302,Kryevidh,Kryevidh,AL110302,Bashkia Rrogozhine,Bashkia Rrogozhinë,AL1103,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110303,110303,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1103,1603:45:16:8:3:110303,Lekaj,Lekaj,AL110303,Bashkia Rrogozhine,Bashkia Rrogozhinë,AL1103,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110304,110304,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1103,1603:45:16:8:3:110304,Rrogozhine,Rrogozhinë,AL110304,Bashkia Rrogozhine,Bashkia Rrogozhinë,AL1103,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110305,110305,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1103,1603:45:16:8:3:110305,Sinaballaj,Sinaballaj,AL110305,Bashkia Rrogozhine,Bashkia Rrogozhinë,AL1103,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110401,110401,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1104,1603:45:16:8:3:110401,Berxulle,Bërxullë,AL110401,Bashkia Vore,Bashkia Vorë,AL1104,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110402,110402,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1104,1603:45:16:8:3:110402,Preze,Prezë,AL110402,Bashkia Vore,Bashkia Vorë,AL1104,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110403,110403,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1104,1603:45:16:8:3:110403,Vore,Vorë,AL110403,Bashkia Vore,Bashkia Vorë,AL1104,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110501,110501,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1105,1603:45:16:8:3:110501,Baldushk,Baldushk,AL110501,Tirana Municipally,Tiranë Municipally,AL1105,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110502,110502,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1105,1603:45:16:8:3:110502,Berzhite,Bërzhitë,AL110502,Tirana Municipally,Tiranë Municipally,AL1105,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110503,110503,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1105,1603:45:16:8:3:110503,Dajt,Dajt,AL110503,Tirana Municipally,Tiranë Municipally,AL1105,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110504,110504,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1105,1603:45:16:8:3:110504,Farke,Farkë,AL110504,Tirana Municipally,Tiranë Municipally,AL1105,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110505,110505,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1105,1603:45:16:8:3:110505,Kashar,Kashar,AL110505,Tirana Municipally,Tiranë Municipally,AL1105,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:3:110506,110506,1603:45:16:8:0,1603:45:16:8:1:11,1603:45:16:8:2:1105,1603:45:16:8:3:110506,Krrabe,Krrabë,AL110506,Tirana Municipally,Tiranë Municipally,AL1105,Tirane,Tiranë,AL11,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
